atletas.rodada_id,atletas.slug,atletas.clube.id.full.name,atletas.atleta_id,atletas.media_num,atletas.posicao_id,atletas.pontos_num,atletas.variacao_num,atletas.clube_id,atletas.apelido,atletas.nome,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.entrou_em_campo
1,fabio,FLU,37656,0,1,0,0,266,Fábio,Fábio Deivson Lopes Maciel,12,7,Fábio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,False
1,hulk,CAM,39148,0,5,0,0,282,Hulk,Givanildo Vieira de Souza,16,7,Hulk,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,False
1,alan-franco,CAM,39656,0,4,0,0,282,Alan Franco,Alan Steven Franco Palma,7,7,A. Franco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,False
1,vagner-mancini,RBB,39850,0,6,0,0,280,Vagner Mancini,Vagner Carmo Mancini,5,7,V. Mancini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,False
1,dorival-junior,COR,40990,0,6,0,0,264,Dorival Júnior,Dorival Silvestre Júnior,11,7,D. Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,0,False
1,willian,GRE,42135,0,4,0,0,284,Willian,Willian Borges da Silva,6,6,Willian,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,False
1,osvaldo,VIT,42222,0,5,0,0,287,Osvaldo,Osvaldo Lourenço Filho,5,6,Osvaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0,False
1,cassio,CRU,42234,0,1,0,0,283,Cássio,Cássio Roberto Ramos,13,7,Cássio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,False
1,fagner,CRU,42500,0,2,0,0,283,Fagner,Fagner Conserva Lemos,7,6,Fagner,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,False
1,tite,CRU,45125,0,6,0,0,283,Tite,Adenor Leonardo Bachi,12,7,Tite,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,False
